,food_name,quantity,calories,type,core,carbohydrates(g),fat(g),protein(g)
0,Aloo Paratha,1 paratha,330,Vegetarian,Aloo,47.72,13.45,5.94
1,Aloo Matar,1 serving (125 g),123,Vegetarian,Aloo,20.6,3.7,4.11
2,Aloo Tikki,1 serving (125 g),111,Vegetarian,Aloo,18.15,4.23,2.38
3,Aloo Palak,1 serving (125 g),116,Vegetarian,Aloo,17.63,4.81,3.53
4,Aloo Gosht,1 serving (86 g),118,Vegetarian,Aloo,5.95,7.6,6.76
5,Dum Aloo,1 serving (125 g),164,Vegetarian,Aloo,24.68,6.96,3.99
6,Aloo Baingan,1 cup,190,Vegetarian,Aloo,25.41,10.2,4.41
7,Aloo Sabzi,100 g,96,Vegetarian,Aloo,17.52,2.89,2.34
8,Aloo Beans,100 g,92,Vegetarian,Aloo,11.8,4.65,1.74
9,Aloo Ka Bharta,100 g,102,Vegetarian,Aloo,19.67,2.08,2.2
10,Aloo Gobi,1 serving (125 g),108,Vegetarian,Aloo,17.02,4.39,2.86
11,Chicken,100 g,237,Non Vegetarian,Chicken,0.0,13.49,27.07
12,Chicken Schnitzel,1 fillet,300,Non Vegetarian,Chicken,16.48,19.01,15.75
13,Chicken Drumstick Meat And Skin,"1 drumstick, bone removed",118,Non Vegetarian,Chicken,0.0,6.34,14.07
14,Chicken Breast,100 g,195,Non Vegetarian,Chicken,0.0,7.72,29.55
15,Chicken Meat,100 g,119,Non Vegetarian,Chicken,0.0,3.08,21.39
16,Roasted Grilled Or Baked Chicken,100 g,237,Non Vegetarian,Chicken,0.0,13.49,27.07
17,Chicken Breast Meat And Skin,"1/2 breast, bone removed (yield from 450 g ready-to-cook chicken)",150,Non Vegetarian,Chicken,0.0,8.05,18.14
18,Roasted Grilled Or Baked Chicken Leg,1 medium,262,Non Vegetarian,Chicken,0.0,15.22,29.34
19,Crumbed Chicken Schnitzel,1 serving (110 g),201,Non Vegetarian,Chicken,4.9,10.3,21.2
20,Chicken Wing,1 small,81,Non Vegetarian,Chicken,0.0,5.4,7.46
21,Roasted Grilled Or Baked Chicken Thigh,1 small,135,Non Vegetarian,Chicken,0.0,8.45,13.67
22,Baked Or Fried Coated Chicken Thigh With Skin,1 medium,239,Non Vegetarian,Chicken,8.48,14.23,18.14
23,Chicken Or Turkey Cordon Bleu,1 cup,308,Non Vegetarian,Chicken,6.86,17.75,27.13
24,Chicken With Gravy (mixture),1/2 chicken breast with gravy,172,Non Vegetarian,Chicken,3.59,8.44,19.48
25,Grilled Chicken,100 g,188,Non Vegetarian,Chicken,0.0,7.35,28.69
26,Chicken Or Turkey And Rice With Cream Sauce (mixture),1 cup,355,Non Vegetarian,Chicken,32.29,14.93,21.87
27,Baked Or Fried Coated Chicken Drumstick With Skin,1 small,148,Non Vegetarian,Chicken,4.52,8.63,12.4
28,Baked Or Fried Coated Chicken Leg Skinless (coating Eaten),1 small,291,Non Vegetarian,Chicken,11.5,15.37,25.09
29,Stewed Chicken Wing,1 small,84,Non Vegetarian,Chicken,0.0,5.67,7.68
30,"Chicken Or Turkey A La King With Vegetables In Cream, White Or Soup Based Sauce",1 cup,460,Non Vegetarian,Chicken,15.3,33.4,24.8
31,Light Crumbed Chicken Breast Fillet,1 fillet (66 g),107,Non Vegetarian,Chicken,3.5,2.5,12.0
32,"Chicken Liver (simmered, Cooked)",100 g,167,Non Vegetarian,Chicken,0.87,6.51,24.46
33,"Chicken Meat And Skin (roasted, Cooked)","1/2 chicken, bone removed",715,Non Vegetarian,Chicken,0.0,40.66,81.63
34,Chicken Thigh,1 small,135,Non Vegetarian,Chicken,0.0,8.45,13.67
35,Chicken Marsala,1 serving,357,Non Vegetarian,Chicken,8.72,6.78,56.4
36,Chicken Or Turkey With Barbecue Sauce,1/2 chicken breast with sauce,234,Non Vegetarian,Chicken,2.85,11.32,28.34
37,Sweet Chilli Chicken Kebabs,100 g,140,Non Vegetarian,Chicken,5.3,1.2,15.9
38,Stewed Chicken Drumstick,1 medium,115,Non Vegetarian,Chicken,0.0,6.01,14.31
39,"Chicken Leg Meat And Skin (roasted, Cooked)","1 leg, bone removed",264,Non Vegetarian,Chicken,0.0,15.34,29.59
40,Baked Or Fried Coated Chicken Drumstick Skinless (coating Eaten),1 small,92,Non Vegetarian,Chicken,3.04,4.65,8.87
41,Baked Or Fried Coated Chicken Thigh Skinless,1 medium,161,Non Vegetarian,Chicken,6.4,8.62,13.53
42,Sweet Chilli Chicken Fillets,100 g,166,Non Vegetarian,Chicken,5.8,2.8,28.2
43,Braised Chicken Liver,1 cup of diced,232,Non Vegetarian,Chicken,1.2,9.04,33.96
44,Fried Chicken Liver,100 g,261,Non Vegetarian,Chicken,7.84,12.15,28.04
45,Baked Or Fried Coated Chicken Breast With Skin (skin/coating Not Eaten),1/2 small,138,Non Vegetarian,Chicken,0.0,3.51,25.01
46,Baked Or Fried Coated Chicken Skinless (coating Not Eaten),"1 medium piece (yield after cooking, bone and coating removed)",111,Non Vegetarian,Chicken,0.0,4.76,15.97
47,Chicken Kiev With Rice Vegetable Mixture (frozen Meal),1 meal (225 g),504,Non Vegetarian,Chicken,30.83,30.4,25.79
48,"Chicken Liver (pan Fried, Cooked)",100 g,172,Non Vegetarian,Chicken,1.11,6.43,25.78
49,Canned Chicken (meat Only),1 can (140 g) yields,230,Non Vegetarian,Chicken,1.0,10.12,31.62
50,"Chicken Or Turkey, Noodles And Vegetables (mixture)",1 cup,188,Non Vegetarian,Chicken,22.06,4.08,15.26
51,Fried Chicken Drumstick No Coating,"1 small (yield after cooking, bone and skin removed)",62,Non Vegetarian,Chicken,0.0,2.53,9.29
52,Chicken Or Turkey And Noodles With Gravy (mixture),1 cup,307,Non Vegetarian,Chicken,27.33,12.75,19.44
53,Baked Or Fried Coated Chicken Breast With Skin,1/2 small,313,Non Vegetarian,Chicken,11.38,15.92,29.36
54,Baked Or Fried Coated Chicken Thigh With Skin (skin/coating Eaten),1 small,211,Non Vegetarian,Chicken,7.49,12.58,16.03
55,Smoked Chicken Breast,1 slice,28,Non Vegetarian,Chicken,0.41,0.29,6.17
56,Stewed Chicken Breast,100 g,150,Non Vegetarian,Chicken,0.0,3.0,28.74
57,Fried Chicken No Coating,100 g,260,Non Vegetarian,Chicken,0.0,15.35,28.62
58,Roasted Grilled Or Baked Chicken Breast,100 g,164,Non Vegetarian,Chicken,0.0,3.54,30.76
59,"Chicken Breast Meat (fried, Cooked)",1/2 breast,161,Non Vegetarian,Chicken,0.44,4.05,28.76
60,Chicken Drumstick,1 serving,198,Non Vegetarian,Chicken,8.2,3.9,15.3
61,Deli Chicken Or Turkey Loaf,1 slice (28 g),43,Non Vegetarian,Chicken,0.48,2.04,5.33
62,Rotisserie Chicken,100 g,159,Non Vegetarian,Chicken,2.0,7.0,22.0
63,Chicken Skewers,1 skewer,127,Non Vegetarian,Chicken,0.69,7.04,14.21
64,Coffee (brewed From Grounds),1 cup (240 ml),2,Vegetarian,Coffee,0.0,0.05,0.28
65,Coffee With Milk,1 coffee cup (180 ml),6,Vegetarian,Coffee,0.84,0.15,0.33
